pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
59,607259,"Martinez, Nick",1080,5.5,0.233,0.1,0.273,0.333,0.246,0.266,0.25,7,30,87.8,-6.5,2565,81.7,80.67,15,59,0,-1,5.9,112,161,124,151,292,321,303
59,571948,"Milner, Hoby",484,12.2,0.179,0.036,0.263,0.214,0.172,0.196,0.208,5,28,79.3,7.9,1872,79.1,79.11,23,59,0,0,6.54,110,149,122,143,297,314,293
58,502085,"Robertson, David",430,13.5,0.065,0.097,0.077,0.161,0.095,0.149,0.13,2,31,87.1,-7.6,2626,84.9,85.31,29,58,0,0.4,6.6,108,150,119,157,296,322,297
58,656685,"Martin, Brett",302,19.2,0.276,0.103,0.421,0.379,0.283,0.328,0.305,8,29,89.6,9.9,2254,82.5,82.64,25,58,0,0.1,6.46,110,155,119,149,296,321,294
56,669330,"Wells, Tyler",1023,5.5,0.241,0.069,0.28,0.31,0.24,0.146,0.15,7,29,82.6,18.2,2584,78,77.96,12,56,0,0,6.26,106,153,117,148,306,322,295
56,661395,"Duran, Jhoan",455,12.3,0.083,0.083,0.154,0.167,0.105,0.2,0.174,2,24,78.6,2.5,2644,87.6,87.54,21,56,0,-0.1,6.12,111,154,116,149,298,331,293
55,554430,"Wheeler, Zack",1158,4.7,0.429,0.286,0.563,0.714,0.484,0.334,0.321,9,21,89.1,3.7,2648,81,81.91,13,55,0,0.9,6.96,107,149,118,143,290,323,294
55,669302,"Gilbert, Logan",1353,4.1,0.192,0,0.217,0.192,0.17,0.345,0.307,5,26,92.4,22,2132,80.6,82.02,14,55,0,1.4,7.19,109,155,118,148,290,323,297
54,596295,"Gomber, Austin",1081,5,0.258,0.226,0.273,0.484,0.317,0.309,0.26,8,31,83.7,0.3,2536,75.3,75.54,14,54,0,0.2,6.59,111,153,127,146,303,327,296
53,605135,"Bassitt, Chris",1377,3.8,0.2,0.08,0.333,0.28,0.207,0.23,0.235,5,25,85.7,20.9,2330,72,71.25,18,53,0,-0.8,6.19,114,155,120,148,296,327,305
52,614179,"Ruiz, José",533,9.8,0.208,0.167,0.211,0.375,0.25,0.272,0.249,5,24,78.8,6.2,2290,85.9,85.3,13,52,0,-0.6,5.83,104,146,110,140,299,325,295
51,594835,"Gonzales, Marco",1212,4.2,0.28,0.2,0.273,0.48,0.326,0.412,0.38,7,25,91.9,4.2,2101,76.2,75.96,9,51,0,-0.2,6.31,107,151,121,145,297,322,282
51,468504,"Chacín, Jhoulys",512,10,0.227,0.227,0.385,0.455,0.273,0.162,0.146,5,22,89.3,13.9,2544,80.1,79.81,18,51,0,-0.3,5.91,113,153,126,147,301,329,302
51,669467,"Pallante, Andre",694,7.3,0.318,0.182,0.5,0.5,0.353,0.251,0.226,7,22,92.3,3,2848,76.1,75.8,19,51,0,-0.3,6.56,110,154,116,150,294,324,299
