,pitches,player_id,player_name,total_pitches,pitch_percent,hits,whiffs,swings,takes
93,49,573204,"Thielbar, Caleb",460,10.7,7.0,13,49,0
94,48,592717,"Sanchez, Aaron",532,9.0,10.0,13,48,0
95,48,664353,"Urquidy, José",1113,4.3,11.0,11,48,0
96,47,669373,"Skubal, Tarik",1265,3.7,8.0,16,47,0
97,46,656605,"Keller, Mitch",1049,4.4,5.0,10,46,0
98,46,605288,"Houser, Adrian",1209,3.8,7.0,5,46,0
99,46,543475,"Lyles, Jordan",1321,3.5,4.0,8,46,0
100,45,543037,"Cole, Gerrit",1302,3.5,7.0,14,45,0
101,45,608349,"Knebel, Corey",507,8.9,6.0,15,45,0
102,45,475479,"Phelps, David",484,9.3,7.0,8,45,0
103,44,670280,"Bednar, David",507,8.7,1.0,17,44,0
104,44,669060,"Wilson, Bryse",625,7.0,4.0,12,44,0
105,43,592826,"Velasquez, Vince",727,5.9,5.0,11,43,0
106,43,592858,"Wick, Rowan",504,8.5,5.0,15,43,0
107,42,669276,"Lee, Dylan",181,23.2,3.0,20,42,0
108,42,489334,"Stammen, Craig",465,9.0,7.0,13,42,0
109,42,477132,"Kershaw, Clayton",640,6.6,6.0,16,42,0
110,42,670950,"Richards, Trevor",511,8.2,9.0,17,42,0
111,41,663485,"Sands, Cole",338,12.1,6.0,14,41,0
112,41,641712,"Hudson, Dakota",1216,3.4,5.0,10,41,0
113,41,623451,"Stephens, Jackson",415,9.9,2.0,12,41,0
114,40,668676,"Plesac, Zach",1148,3.5,6.0,8,40,0
115,39,623485,"Goudeau, Ashton",375,10.4,8.0,13,39,0
116,39,656730,"Megill, Trevor",187,20.9,3.0,14,39,0
117,38,605347,"López, Jorge",531,7.2,2.0,9,38,0
118,38,643338,"Green, Chad",241,15.8,1.0,12,38,0
119,37,660271,"Ohtani, Shohei",1071,3.5,4.0,17,37,0
120,36,672710,"Contreras, Roansy",647,5.6,4.0,8,36,0
121,36,663460,"Bubic, Kris",679,5.3,6.0,6,36,0
122,35,664948,"Misiewicz, Anthony",234,15.0,5.0,8,35,0
123,35,605218,"Edwards Jr., Carl",337,10.4,1.0,11,35,0
124,35,621381,"Strahm, Matt",341,10.3,1.0,7,35,0
125,35,572955,"Johnson, Pierce",138,25.4,4.0,10,35,0
126,34,669923,"Kirby, George",805,4.2,4.0,3,34,0
127,34,502171,"Cobb, Alex",671,5.1,6.0,12,34,0
128,34,605540,"Woodruff, Brandon",810,4.2,4.0,7,34,0
129,34,518748,"Grimm, Justin",277,12.3,4.0,12,34,0
130,33,641726,"Jefferies, Daulton",611,5.4,5.0,13,33,0
131,32,676879,"Ashby, Aaron",968,3.3,1.0,14,32,0
132,31,519151,"Pressly, Ryan",269,11.5,4.0,10,31,0
133,31,607755,"Vasquez, Andrew",118,26.3,4.0,12,31,0
134,31,592836,"Walker, Taijuan",938,3.3,3.0,6,31,0
135,31,605200,"Davies, Zach",1242,2.5,8.0,5,31,0
136,31,665001,"Kelley, Trevor",283,11.0,3.0,13,31,0
137,31,543294,"Hendricks, Kyle",1093,2.8,7.0,10,31,0
138,31,668868,"Thompson, Zack",255,12.2,2.0,3,31,0
139,31,669952,"White, Mitch",413,7.5,4.0,12,31,0
140,30,547943,"Ryu, Hyun Jin",395,7.6,3.0,4,30,0
141,30,680694,"Bradish, Kyle",832,3.6,6.0,7,30,0
142,30,657649,"Koenig, Jared",261,11.5,3.0,4,30,0
143,30,681885,"Lee, Evan",165,18.2,3.0,9,30,0
144,29,642547,"Peralta, Freddy",701,4.1,3.0,13,29,0
145,29,643493,"Pruitt, Austin",185,15.7,3.0,5,29,0
146,28,664062,"Gonsolin, Tony",1063,2.6,1.0,9,28,0
147,28,656657,"Logue, Zach",449,6.2,6.0,8,28,0
148,28,622503,"Crismatt, Nabil",487,5.7,3.0,8,28,0
149,27,657248,"Otto, Glenn",711,3.8,4.0,8,27,0
150,27,605151,"Bradley, Archie",254,10.6,4.0,4,27,0
151,27,669674,"Long, Sam",406,6.7,2.0,5,27,0
152,27,661269,"Gutierrez, Vladimir",684,3.9,4.0,3,27,0
153,27,621074,"Rucker, Michael",342,7.9,7.0,5,27,0
154,27,621076,"Kaprielian, James",803,3.4,3.0,3,27,0
155,26,523260,"Kelly, Joe",147,17.7,4.0,10,26,0
156,26,669461,"Liberatore, Matthew",340,7.6,4.0,10,26,0
157,26,657376,"Schmidt, Clarke",381,6.8,0.0,8,26,0
158,26,554340,"Garcia, Yimi",437,5.9,8.0,7,26,0
159,25,663423,"Thornton, Trent",412,6.1,5.0,6,25,0
160,24,642528,"Loáisiga, Jonathan",279,8.6,1.0,8,24,0
161,24,656529,"Hentges, Sam",346,6.9,1.0,7,24,0
162,24,592804,"Thornburg, Tyler",272,8.8,3.0,5,24,0
163,24,664299,"Javier, Cristian",982,2.4,5.0,6,24,0
164,24,666374,"Brash, Matt",391,6.1,4.0,8,24,0
165,24,663978,"Paddack, Chris",367,6.5,7.0,6,24,0
166,24,622608,"Senzatela, Antonio",893,2.7,0.0,5,24,0
167,24,641927,"Ober, Bailey",526,4.6,1.0,6,24,0
168,24,453286,"Scherzer, Max",759,3.2,3.0,5,24,0
169,24,666157,"Lodolo, Nick",248,9.7,6.0,9,24,0
170,23,605483,"Snell, Blake",564,4.1,2.0,10,23,0
171,23,621363,"Poche, Colin",342,6.7,2.0,3,23,0
172,23,506433,"Darvish, Yu",1251,1.8,2.0,5,23,0
173,23,592789,"Syndergaard, Noah",895,2.6,2.0,11,23,0
174,22,624133,"Suárez, Ranger",1266,1.7,3.0,3,22,0
175,22,677651,"Garcia, Luis",1086,2.0,1.0,7,22,0
176,22,676596,"Fleming, Josh",355,6.2,4.0,5,22,0
177,21,521230,"Hendriks, Liam",440,4.8,2.0,10,21,0
178,21,623167,"Flexen, Chris",1146,1.8,7.0,2,21,0
179,21,663776,"Sandoval, Patrick",980,2.1,3.0,9,21,0
180,21,643410,"Leiter Jr., Mark",339,6.2,2.0,7,21,0
181,21,657093,"Watkins, Spenser",512,4.1,3.0,6,21,0
182,21,663372,"Feltner, Ryan",511,4.1,1.0,5,21,0
183,20,502043,"Gibson, Kyle",1244,1.6,3.0,8,20,0
184,20,608328,"De Jong, Chase",420,4.8,3.0,3,20,0
185,20,656686,"Martin, Corbin",269,7.4,3.0,10,20,0
186,20,527048,"Pérez, Martín",1271,1.6,7.0,4,20,0
187,20,608379,"Wacha, Michael",1002,2.0,3.0,4,20,0
188,20,605164,"Bundy, Dylan",859,2.3,3.0,4,20,0
189,20,656353,"Davidson, Tucker",280,7.1,2.0,6,20,0
190,19,592866,"Williams, Trevor",655,2.9,2.0,3,19,0
191,19,608337,"Giolito, Lucas",1091,1.7,3.0,5,19,0
192,19,657746,"Ryan, Joe",855,2.2,5.0,4,19,0
193,19,548389,"Stripling, Ross",853,2.2,3.0,2,19,0
194,19,607074,"Rodón, Carlos",1335,1.4,0.0,4,19,0
195,18,643377,"Jax, Griffin",546,3.3,3.0,3,18,0
196,18,621389,"Blach, Ty",495,3.6,5.0,3,18,0
197,17,572403,"VerHagen, Drew",383,4.4,1.0,3,17,0
198,17,543101,"DeSclafani, Anthony",276,6.2,0.0,7,17,0
199,17,665795,"Cabrera, Edward",286,5.9,1.0,5,17,0
200,17,680739,"Winder, Josh",473,3.6,0.0,4,17,0
201,17,656849,"Peterson, David",788,2.2,3.0,5,17,0
202,17,625643,"López, Reynaldo",521,3.3,1.0,5,17,0
203,16,663436,"Martin, Davis",353,4.5,2.0,3,16,0
204,16,670912,"Oviedo, Johan",259,6.2,1.0,5,16,0
205,16,607455,"Banda, Anthony",349,4.6,3.0,5,16,0
206,16,621249,"Underwood Jr., Duane",275,5.8,3.0,5,16,0
207,16,471911,"Carrasco, Carlos",1179,1.4,1.0,7,16,0
208,16,502042,"Archer, Chris",897,1.8,1.0,2,16,0
209,15,676534,"Faucher, Calvin",185,8.1,2.0,2,15,0
210,15,656793,"Nelson, Nick",581,2.6,0.0,3,15,0
211,15,596071,"Peters, Dillon",405,3.7,2.0,2,15,0
