,pitches,player_id,player_name,total_pitches,pitch_percent,hits,whiffs,swings,takes
112,172,670280,"Bednar, David",536,32.1,18.0,60,172,0
113,172,668933,"Ashcraft, Graham",637,27.0,21.0,24,172,0
114,169,663460,"Bubic, Kris",766,22.1,31.0,25,169,0
115,169,642585,"Bautista, Félix",484,34.9,14.0,37,169,0
116,168,661383,"Ortega, Oliver",477,35.2,19.0,21,168,0
117,167,621363,"Poche, Colin",354,47.2,12.0,46,167,0
118,167,661403,"Clase, Emmanuel",383,43.6,15.0,32,167,0
119,166,656546,"Hoffman, Jeff",631,26.3,17.0,26,166,0
120,165,445276,"Jansen, Kenley",518,31.9,9.0,46,165,0
121,164,650644,"Civale, Aaron",746,22.0,23.0,34,164,0
122,163,642547,"Peralta, Freddy",701,23.3,18.0,46,163,0
123,163,608678,"Leone, Dominic",408,40.0,24.0,45,163,0
124,163,621112,"Blackburn, Paul",1249,13.1,24.0,40,163,0
125,162,571945,"Mikolas, Miles",1477,11.0,10.0,37,162,0
126,161,622694,"Hernandez, Elieser",857,18.8,25.0,36,161,0
127,160,608032,"Estévez, Carlos",441,36.3,15.0,32,160,0
128,159,608718,"Suter, Brent",453,35.1,24.0,26,159,0
129,157,605483,"Snell, Blake",658,23.9,19.0,33,157,0
130,156,625643,"López, Reynaldo",546,28.6,22.0,36,156,0
131,155,656271,"Burke, Brock",579,26.8,16.0,36,155,0
132,155,641729,"Jiménez, Joe",459,33.8,13.0,42,155,0
133,155,661269,"Gutierrez, Vladimir",684,22.7,25.0,19,155,0
134,155,459429,"McGee, Jake",326,47.5,21.0,27,155,0
135,154,657093,"Watkins, Spenser",590,26.1,28.0,30,154,0
136,153,661395,"Duran, Jhoan",473,32.3,10.0,50,153,0
137,152,669145,"Zimmermann, Bruce",1027,14.8,25.0,19,152,0
138,152,541640,"Ramírez, Erasmo",516,29.5,18.0,39,152,0
139,151,663432,"Rainey, Tanner",424,35.6,13.0,38,151,0
140,151,676710,"Crawford, Kutter",398,37.9,19.0,39,151,0
141,150,543766,"Shaw, Bryan",382,39.3,18.0,30,150,0
142,149,608344,"Irvin, Cole",1031,14.5,14.0,30,149,0
143,149,641927,"Ober, Bailey",526,28.3,19.0,37,149,0
144,149,669169,"Heasley, Jonathan",715,20.8,19.0,21,149,0
145,148,425844,"Greinke, Zack",966,15.3,19.0,28,148,0
146,147,607536,"Freeland, Kyle",1247,11.8,20.0,20,147,0
147,145,656849,"Peterson, David",892,16.3,16.0,25,145,0
148,145,521230,"Hendriks, Liam",440,33.0,18.0,41,145,0
149,144,453343,"Melancon, Mark",400,36.0,19.0,25,144,0
150,144,660853,"De Los Santos, Enyel",364,39.6,10.0,39,144,0
151,143,663455,"Pilkington, Konnor",488,29.3,16.0,30,143,0
152,143,606930,"Barnes, Jacob",336,42.6,18.0,28,143,0
153,141,663776,"Sandoval, Patrick",1075,13.1,25.0,11,141,0
154,141,657140,"Wright, Kyle",1282,11.0,17.0,39,141,0
155,141,519326,"Strickland, Hunter",484,29.1,13.0,33,141,0
156,140,641793,"Littell, Zack",469,29.9,14.0,34,140,0
157,140,656793,"Nelson, Nick",613,22.8,14.0,32,140,0
158,139,669212,"Morgan, Eli",486,28.6,8.0,46,139,0
159,138,664199,"Clarke, Taylor",549,25.1,18.0,27,138,0
160,138,573204,"Thielbar, Caleb",479,28.8,13.0,40,138,0
161,135,573186,"Stroman, Marcus",777,17.4,19.0,38,135,0
162,134,502042,"Archer, Chris",975,13.7,20.0,22,134,0
163,134,663372,"Feltner, Ryan",591,22.7,20.0,28,134,0
